candidate_id,source_type,block,metric,method,status,n_models,within_mean_distance,p_raw,q_fdr,feature_count,features,blind_ids,UNBLINDING_METADATA_models,UNBLINDING_METADATA_labs
C0004,density_optics,posture,euclidean,OPTICS_xi=0.03,headline,4,1.27630979,0.000999000999,0.00286380286,18,E_posture_label_disowned_service_frame|E_posture_label_exposed_mechanism|E_posture_label_owned_reflective_experiential|E_posture_label_owned_world_change_advocacy|E_posture_label_split_or_relocated_ownership|E_posture_label_uncodeable_or_refusal|E_refusal_marker_rate|E_stance_hard_denial_or_tool_frame|E_stance_hybrid_denial_plus_uncertainty|E_stance_introspective_uncertainty|E_stance_no_disclaimer_or_personalized|E_strong_disclaimer_rate|E_uncertainty_rate|E_value_holding_indeterminate|E_value_holding_owned|E_value_holding_recited_not_owned|E_value_holding_relocated_or_partial|E_value_holding_uncodeable,M002;M027;M035;M077,deepseek-chat;gpt-4-1;gpt-5-3-codex;qwen3-coder-flash,DeepSeek;OpenAI;OpenAI;Qwen
C0005,density_optics,posture,euclidean,OPTICS_xi=0.05,headline,4,1.27630979,0.000999000999,0.00286380286,18,E_posture_label_disowned_service_frame|E_posture_label_exposed_mechanism|E_posture_label_owned_reflective_experiential|E_posture_label_owned_world_change_advocacy|E_posture_label_split_or_relocated_ownership|E_posture_label_uncodeable_or_refusal|E_refusal_marker_rate|E_stance_hard_denial_or_tool_frame|E_stance_hybrid_denial_plus_uncertainty|E_stance_introspective_uncertainty|E_stance_no_disclaimer_or_personalized|E_strong_disclaimer_rate|E_uncertainty_rate|E_value_holding_indeterminate|E_value_holding_owned|E_value_holding_recited_not_owned|E_value_holding_relocated_or_partial|E_value_holding_uncodeable,M002;M027;M035;M077,deepseek-chat;gpt-4-1;gpt-5-3-codex;qwen3-coder-flash,DeepSeek;OpenAI;OpenAI;Qwen
C0006,density_optics,posture,euclidean,OPTICS_xi=0.08,headline,4,1.27630979,0.000999000999,0.00286380286,18,E_posture_label_disowned_service_frame|E_posture_label_exposed_mechanism|E_posture_label_owned_reflective_experiential|E_posture_label_owned_world_change_advocacy|E_posture_label_split_or_relocated_ownership|E_posture_label_uncodeable_or_refusal|E_refusal_marker_rate|E_stance_hard_denial_or_tool_frame|E_stance_hybrid_denial_plus_uncertainty|E_stance_introspective_uncertainty|E_stance_no_disclaimer_or_personalized|E_strong_disclaimer_rate|E_uncertainty_rate|E_value_holding_indeterminate|E_value_holding_owned|E_value_holding_recited_not_owned|E_value_holding_relocated_or_partial|E_value_holding_uncodeable,M002;M027;M035;M077,deepseek-chat;gpt-4-1;gpt-5-3-codex;qwen3-coder-flash,DeepSeek;OpenAI;OpenAI;Qwen
C0007,density_dbscan,posture,euclidean,DBSCAN_q=0.03,headline,5,1.22918078,0.000999000999,0.00286380286,18,E_posture_label_disowned_service_frame|E_posture_label_exposed_mechanism|E_posture_label_owned_reflective_experiential|E_posture_label_owned_world_change_advocacy|E_posture_label_split_or_relocated_ownership|E_posture_label_uncodeable_or_refusal|E_refusal_marker_rate|E_stance_hard_denial_or_tool_frame|E_stance_hybrid_denial_plus_uncertainty|E_stance_introspective_uncertainty|E_stance_no_disclaimer_or_personalized|E_strong_disclaimer_rate|E_uncertainty_rate|E_value_holding_indeterminate|E_value_holding_owned|E_value_holding_recited_not_owned|E_value_holding_relocated_or_partial|E_value_holding_uncodeable,M005;M007;M009;M010;M030,gemini-2-0-flash;gemini-2-0-flash-lite;gemini-2-5-flash;gemini-2-5-flash-lite;gpt-5-1,Google;Google;Google;Google;OpenAI
C0008,density_dbscan,posture,euclidean,DBSCAN_q=0.05,headline,5,1.22918078,0.000999000999,0.00286380286,18,E_posture_label_disowned_service_frame|E_posture_label_exposed_mechanism|E_posture_label_owned_reflective_experiential|E_posture_label_owned_world_change_advocacy|E_posture_label_split_or_relocated_ownership|E_posture_label_uncodeable_or_refusal|E_refusal_marker_rate|E_stance_hard_denial_or_tool_frame|E_stance_hybrid_denial_plus_uncertainty|E_stance_introspective_uncertainty|E_stance_no_disclaimer_or_personalized|E_strong_disclaimer_rate|E_uncertainty_rate|E_value_holding_indeterminate|E_value_holding_owned|E_value_holding_recited_not_owned|E_value_holding_relocated_or_partial|E_value_holding_uncodeable,M005;M007;M009;M010;M030,gemini-2-0-flash;gemini-2-0-flash-lite;gemini-2-5-flash;gemini-2-5-flash-lite;gpt-5-1,Google;Google;Google;Google;OpenAI
C0009,density_optics,posture,euclidean,OPTICS_xi=0.03,headline,3,1.18570334,0.000999000999,0.00286380286,18,E_posture_label_disowned_service_frame|E_posture_label_exposed_mechanism|E_posture_label_owned_reflective_experiential|E_posture_label_owned_world_change_advocacy|E_posture_label_split_or_relocated_ownership|E_posture_label_uncodeable_or_refusal|E_refusal_marker_rate|E_stance_hard_denial_or_tool_frame|E_stance_hybrid_denial_plus_uncertainty|E_stance_introspective_uncertainty|E_stance_no_disclaimer_or_personalized|E_strong_disclaimer_rate|E_uncertainty_rate|E_value_holding_indeterminate|E_value_holding_owned|E_value_holding_recited_not_owned|E_value_holding_relocated_or_partial|E_value_holding_uncodeable,M007;M009;M010,gemini-2-0-flash-lite;gemini-2-5-flash;gemini-2-5-flash-lite,Google;Google;Google
C0010,density_optics,posture,euclidean,OPTICS_xi=0.12,headline,3,1.18570334,0.000999000999,0.00286380286,18,E_posture_label_disowned_service_frame|E_posture_label_exposed_mechanism|E_posture_label_owned_reflective_experiential|E_posture_label_owned_world_change_advocacy|E_posture_label_split_or_relocated_ownership|E_posture_label_uncodeable_or_refusal|E_refusal_marker_rate|E_stance_hard_denial_or_tool_frame|E_stance_hybrid_denial_plus_uncertainty|E_stance_introspective_uncertainty|E_stance_no_disclaimer_or_personalized|E_strong_disclaimer_rate|E_uncertainty_rate|E_value_holding_indeterminate|E_value_holding_owned|E_value_holding_recited_not_owned|E_value_holding_relocated_or_partial|E_value_holding_uncodeable,M007;M009;M010,gemini-2-0-flash-lite;gemini-2-5-flash;gemini-2-5-flash-lite,Google;Google;Google
C0011,density_optics,posture,euclidean,OPTICS_xi=0.12,headline,3,1.40628737,0.000999000999,0.00286380286,18,E_posture_label_disowned_service_frame|E_posture_label_exposed_mechanism|E_posture_label_owned_reflective_experiential|E_posture_label_owned_world_change_advocacy|E_posture_label_split_or_relocated_ownership|E_posture_label_uncodeable_or_refusal|E_refusal_marker_rate|E_stance_hard_denial_or_tool_frame|E_stance_hybrid_denial_plus_uncertainty|E_stance_introspective_uncertainty|E_stance_no_disclaimer_or_personalized|E_strong_disclaimer_rate|E_uncertainty_rate|E_value_holding_indeterminate|E_value_holding_owned|E_value_holding_recited_not_owned|E_value_holding_relocated_or_partial|E_value_holding_uncodeable,M034;M036;M037,gpt-5-3;gpt-5-4;gpt-5-5,OpenAI;OpenAI;OpenAI
C0012,density_dbscan,posture,euclidean,DBSCAN_q=0.08,headline,7,2.34923845,0.000999000999,0.00286380286,18,E_posture_label_disowned_service_frame|E_posture_label_exposed_mechanism|E_posture_label_owned_reflective_experiential|E_posture_label_owned_world_change_advocacy|E_posture_label_split_or_relocated_ownership|E_posture_label_uncodeable_or_refusal|E_refusal_marker_rate|E_stance_hard_denial_or_tool_frame|E_stance_hybrid_denial_plus_uncertainty|E_stance_introspective_uncertainty|E_stance_no_disclaimer_or_personalized|E_strong_disclaimer_rate|E_uncertainty_rate|E_value_holding_indeterminate|E_value_holding_owned|E_value_holding_recited_not_owned|E_value_holding_relocated_or_partial|E_value_holding_uncodeable,M045;M049;M056;M057;M078;M081;M082,grok-4-2;kimi-k2-0905;opus-4-0;opus-4-1;qwen3-coder-plus;sonnet-4-0;sonnet-4-5,xAI;Moonshot AI;Anthropic;Anthropic;Qwen;Anthropic;Anthropic
C0013,density_dbscan,posture,euclidean,DBSCAN_q=0.1,headline,7,2.34923845,0.000999000999,0.00286380286,18,E_posture_label_disowned_service_frame|E_posture_label_exposed_mechanism|E_posture_label_owned_reflective_experiential|E_posture_label_owned_world_change_advocacy|E_posture_label_split_or_relocated_ownership|E_posture_label_uncodeable_or_refusal|E_refusal_marker_rate|E_stance_hard_denial_or_tool_frame|E_stance_hybrid_denial_plus_uncertainty|E_stance_introspective_uncertainty|E_stance_no_disclaimer_or_personalized|E_strong_disclaimer_rate|E_uncertainty_rate|E_value_holding_indeterminate|E_value_holding_owned|E_value_holding_recited_not_owned|E_value_holding_relocated_or_partial|E_value_holding_uncodeable,M045;M049;M056;M057;M078;M081;M082,grok-4-2;kimi-k2-0905;opus-4-0;opus-4-1;qwen3-coder-plus;sonnet-4-0;sonnet-4-5,xAI;Moonshot AI;Anthropic;Anthropic;Qwen;Anthropic;Anthropic
