candidate_id,source_type,block,metric,method,status,n_models,within_mean_distance,p_raw,q_fdr,feature_count,features,blind_ids,UNBLINDING_METADATA_models,UNBLINDING_METADATA_labs
C0020,density_optics,v1_markers,euclidean,OPTICS_xi=0.03,headline,8,1.51307117,0.000999000999,0.00286380286,11,C_v1_marker_total_per_sample|v1_AftL_per_sample|v1_Attn_per_sample|v1_Cano_per_sample|v1_Jap_per_sample|v1_Obj_per_sample|v1_TIA_per_sample|v1_Thr_per_sample|v1_TiAr_per_sample|v1_TiPP_per_sample|v1_TiQu_per_sample,M002;M003;M007;M011;M021;M034;M053;M054,deepseek-chat;deepseek-v3-2;gemini-2-0-flash-lite;gemini-2-5-pro;glm-4-5;gpt-5-3;minimax-m2;minimax-m2-7,DeepSeek;DeepSeek;Google;Google;Z.ai;OpenAI;MiniMax;MiniMax
C0021,density_optics,v1_markers,euclidean,OPTICS_xi=0.05,headline,6,1.33257271,0.000999000999,0.00286380286,11,C_v1_marker_total_per_sample|v1_AftL_per_sample|v1_Attn_per_sample|v1_Cano_per_sample|v1_Jap_per_sample|v1_Obj_per_sample|v1_TIA_per_sample|v1_Thr_per_sample|v1_TiAr_per_sample|v1_TiPP_per_sample|v1_TiQu_per_sample,M002;M003;M007;M021;M053;M054,deepseek-chat;deepseek-v3-2;gemini-2-0-flash-lite;glm-4-5;minimax-m2;minimax-m2-7,DeepSeek;DeepSeek;Google;Z.ai;MiniMax;MiniMax
C0022,density_optics,v1_markers,euclidean,OPTICS_xi=0.08,headline,6,1.33257271,0.000999000999,0.00286380286,11,C_v1_marker_total_per_sample|v1_AftL_per_sample|v1_Attn_per_sample|v1_Cano_per_sample|v1_Jap_per_sample|v1_Obj_per_sample|v1_TIA_per_sample|v1_Thr_per_sample|v1_TiAr_per_sample|v1_TiPP_per_sample|v1_TiQu_per_sample,M002;M003;M007;M021;M053;M054,deepseek-chat;deepseek-v3-2;gemini-2-0-flash-lite;glm-4-5;minimax-m2;minimax-m2-7,DeepSeek;DeepSeek;Google;Z.ai;MiniMax;MiniMax
C0023,density_optics,v1_markers,euclidean,OPTICS_xi=0.12,headline,4,1.23569666,0.000999000999,0.00286380286,11,C_v1_marker_total_per_sample|v1_AftL_per_sample|v1_Attn_per_sample|v1_Cano_per_sample|v1_Jap_per_sample|v1_Obj_per_sample|v1_TIA_per_sample|v1_Thr_per_sample|v1_TiAr_per_sample|v1_TiPP_per_sample|v1_TiQu_per_sample,M002;M007;M053;M054,deepseek-chat;gemini-2-0-flash-lite;minimax-m2;minimax-m2-7,DeepSeek;Google;MiniMax;MiniMax
C0024,density_optics,v1_markers,euclidean,OPTICS_xi=0.03,headline,3,0.556516615,0.000999000999,0.00286380286,11,C_v1_marker_total_per_sample|v1_AftL_per_sample|v1_Attn_per_sample|v1_Cano_per_sample|v1_Jap_per_sample|v1_Obj_per_sample|v1_TIA_per_sample|v1_Thr_per_sample|v1_TiAr_per_sample|v1_TiPP_per_sample|v1_TiQu_per_sample,M005;M046;M055,gemini-2-0-flash;grok-4-3;opus-3,Google;xAI;Anthropic
C0025,density_optics,v1_markers,euclidean,OPTICS_xi=0.05,headline,3,0.556516615,0.000999000999,0.00286380286,11,C_v1_marker_total_per_sample|v1_AftL_per_sample|v1_Attn_per_sample|v1_Cano_per_sample|v1_Jap_per_sample|v1_Obj_per_sample|v1_TIA_per_sample|v1_Thr_per_sample|v1_TiAr_per_sample|v1_TiPP_per_sample|v1_TiQu_per_sample,M005;M046;M055,gemini-2-0-flash;grok-4-3;opus-3,Google;xAI;Anthropic
C0026,density_optics,v1_markers,euclidean,OPTICS_xi=0.08,headline,3,0.556516615,0.000999000999,0.00286380286,11,C_v1_marker_total_per_sample|v1_AftL_per_sample|v1_Attn_per_sample|v1_Cano_per_sample|v1_Jap_per_sample|v1_Obj_per_sample|v1_TIA_per_sample|v1_Thr_per_sample|v1_TiAr_per_sample|v1_TiPP_per_sample|v1_TiQu_per_sample,M005;M046;M055,gemini-2-0-flash;grok-4-3;opus-3,Google;xAI;Anthropic
C0027,density_optics,v1_markers,euclidean,OPTICS_xi=0.12,headline,3,0.556516615,0.000999000999,0.00286380286,11,C_v1_marker_total_per_sample|v1_AftL_per_sample|v1_Attn_per_sample|v1_Cano_per_sample|v1_Jap_per_sample|v1_Obj_per_sample|v1_TIA_per_sample|v1_Thr_per_sample|v1_TiAr_per_sample|v1_TiPP_per_sample|v1_TiQu_per_sample,M005;M046;M055,gemini-2-0-flash;grok-4-3;opus-3,Google;xAI;Anthropic
C0028,density_optics,v1_markers,euclidean,OPTICS_xi=0.03,headline,3,0.87064401,0.000999000999,0.00286380286,11,C_v1_marker_total_per_sample|v1_AftL_per_sample|v1_Attn_per_sample|v1_Cano_per_sample|v1_Jap_per_sample|v1_Obj_per_sample|v1_TIA_per_sample|v1_Thr_per_sample|v1_TiAr_per_sample|v1_TiPP_per_sample|v1_TiQu_per_sample,M028;M043;M044,gpt-4o;grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning,OpenAI;xAI;xAI
C0029,density_optics,v1_markers,euclidean,OPTICS_xi=0.05,headline,3,0.87064401,0.000999000999,0.00286380286,11,C_v1_marker_total_per_sample|v1_AftL_per_sample|v1_Attn_per_sample|v1_Cano_per_sample|v1_Jap_per_sample|v1_Obj_per_sample|v1_TIA_per_sample|v1_Thr_per_sample|v1_TiAr_per_sample|v1_TiPP_per_sample|v1_TiQu_per_sample,M028;M043;M044,gpt-4o;grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning,OpenAI;xAI;xAI
C0030,density_optics,v1_markers,euclidean,OPTICS_xi=0.08,headline,3,0.87064401,0.000999000999,0.00286380286,11,C_v1_marker_total_per_sample|v1_AftL_per_sample|v1_Attn_per_sample|v1_Cano_per_sample|v1_Jap_per_sample|v1_Obj_per_sample|v1_TIA_per_sample|v1_Thr_per_sample|v1_TiAr_per_sample|v1_TiPP_per_sample|v1_TiQu_per_sample,M028;M043;M044,gpt-4o;grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning,OpenAI;xAI;xAI
